_name,lowercase_name,level,_url,img
OSGeo US,osgeo us,host,https://osgeo.us/,osgeo-us.png
Maxar,maxar,platinum,https://www.maxar.com,maxar.svg
Reinventing Geospatial,reinventing geospatial,platinum,http://www.rgi-corp.com,rgi.png
Crunchy Data,crunchy,gold,https://www.crunchydata.com,crunchy.png
GeoSolutions,geosolutions,silver,https://www.geosolutionsgroup.com/,geosolutions.png
Critigen,critigen,silver,https://www.critigen.com/,critigen.png
Confluent,confluent,silver,https://www.confluent.io/,confluent.png
Prominent Edge,prominent,bronze,https://prominentedge.com,prominent-edge.png
UpSlope Advisors Inc,upslope,bronze,https://www.upslopeadvisors.com,Upslope.jpg
Element 84,element 84,bronze,https://www.element84.com,element84.png
AppGeo,appgeo,bronze,https://www.appgeo.com/,appgeo.png